"Magnitude ID";"User ID";"Obs Session ID";Shower;"Start Date";"End Date";"Mag N6";"Mag N5";"Mag N4";"Mag N3";"Mag N2";"Mag N1";"Mag 0";"Mag 1";"Mag 2";"Mag 3";"Mag 4";"Mag 5";"Mag 6";"Mag 7"
288341;7956;80108;SPO;"2020-03-22 10:25:00";"2020-03-22 11:25:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00
288342;7956;80108;SPO;"2020-03-22 12:10:00";"2020-03-22 13:10:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;2.00;0.00;0.00;0.00
288343;7956;80109;ANT;"2020-03-23 09:45:00";"2020-03-23 10:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288344;7956;80109;ANT;"2020-03-23 10:45:00";"2020-03-23 11:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00
288345;7956;80109;ANT;"2020-03-23 11:55:00";"2020-03-23 12:10:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288346;7956;80109;GNO;"2020-03-23 09:45:00";"2020-03-23 10:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288347;7956;80109;GNO;"2020-03-23 10:45:00";"2020-03-23 11:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288348;7956;80109;GNO;"2020-03-23 11:55:00";"2020-03-23 12:10:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288349;7956;80109;SPO;"2020-03-23 09:45:00";"2020-03-23 10:45:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00
288350;7956;80109;SPO;"2020-03-23 10:45:00";"2020-03-23 11:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00
288351;7956;80109;SPO;"2020-03-23 11:55:00";"2020-03-23 12:10:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288352;7956;80110;ANT;"2020-03-27 09:45:00";"2020-03-27 10:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
288353;7956;80110;ANT;"2020-03-27 10:45:00";"2020-03-27 11:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00
288354;7956;80110;ANT;"2020-03-27 12:00:00";"2020-03-27 13:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
288355;7956;80110;ANT;"2020-03-27 13:15:00";"2020-03-27 14:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
288356;7956;80110;GNO;"2020-03-27 09:45:00";"2020-03-27 10:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288357;7956;80110;GNO;"2020-03-27 10:45:00";"2020-03-27 11:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288358;7956;80110;GNO;"2020-03-27 12:00:00";"2020-03-27 13:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
288359;7956;80110;GNO;"2020-03-27 13:15:00";"2020-03-27 14:15:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288360;7956;80110;SPO;"2020-03-27 09:45:00";"2020-03-27 10:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;2.00;0.00;0.00;0.00
288361;7956;80110;SPO;"2020-03-27 10:45:00";"2020-03-27 11:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.00;5.00;1.00;0.00;0.00;0.00
288362;7956;80110;SPO;"2020-03-27 12:00:00";"2020-03-27 13:00:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;2.00;3.00;1.00;0.00;0.00;0.00
288363;7956;80110;SPO;"2020-03-27 13:15:00";"2020-03-27 14:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;1.00;0.00;0.00;0.00
288364;7956;80111;ANT;"2020-03-28 12:15:00";"2020-03-28 12:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288365;7956;80111;GNO;"2020-03-28 12:15:00";"2020-03-28 12:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288366;7956;80111;SPO;"2020-03-28 12:15:00";"2020-03-28 12:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00
288367;7956;80112;ANT;"2020-03-30 13:10:00";"2020-03-30 14:10:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
