"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
964485;194;79795;"2020-01-03 18:27:00";"2020-01-03 18:59:00";140.0000;60.0000;0.5333;1.0000;5.3;SPO;C;1
964486;426;79796;"2020-01-03 02:35:00";"2020-01-03 02:50:00";180.0000;85.0000;0.2500;1.0000;5.81;QUA;C;0
964487;426;79796;"2020-01-03 02:35:00";"2020-01-03 02:50:00";180.0000;85.0000;0.2500;1.0000;5.81;SPO;C;3
964488;426;79797;"2020-01-04 05:45:00";"2020-01-04 06:00:00";225.0000;74.0000;0.2500;1.0000;6.2;QUA;C;11
964489;426;79797;"2020-01-04 05:45:00";"2020-01-04 06:00:00";225.0000;74.0000;0.2500;1.0000;6.2;DLM;C;0
964490;426;79797;"2020-01-04 05:45:00";"2020-01-04 06:00:00";225.0000;74.0000;0.2500;1.0000;6.2;SPO;C;1
964491;426;79797;"2020-01-04 06:00:00";"2020-01-04 06:15:00";225.0000;74.0000;0.2500;1.0000;6.33;QUA;C;11
964492;426;79797;"2020-01-04 06:00:00";"2020-01-04 06:15:00";225.0000;74.0000;0.2500;1.0000;6.33;DLM;C;0
964493;426;79797;"2020-01-04 06:00:00";"2020-01-04 06:15:00";225.0000;74.0000;0.2500;1.0000;6.33;SPO;C;2
964494;426;79797;"2020-01-04 06:15:00";"2020-01-04 06:30:00";225.0000;74.0000;0.2500;1.0000;6.33;QUA;C;19
964495;426;79797;"2020-01-04 06:15:00";"2020-01-04 06:30:00";225.0000;74.0000;0.2500;1.0000;6.33;DLM;C;0
964496;426;79797;"2020-01-04 06:15:00";"2020-01-04 06:30:00";225.0000;74.0000;0.2500;1.0000;6.33;SPO;C;3
964497;426;79797;"2020-01-04 06:30:00";"2020-01-04 06:45:00";225.0000;74.0000;0.2500;1.0000;6.4;QUA;C;20
964498;426;79797;"2020-01-04 06:30:00";"2020-01-04 06:45:00";225.0000;74.0000;0.2500;1.0000;6.4;DLM;C;2
964499;426;79797;"2020-01-04 06:30:00";"2020-01-04 06:45:00";225.0000;74.0000;0.2500;1.0000;6.4;SPO;C;3
964500;7581;79798;"2020-01-03 23:40:00";"2020-01-04 00:15:00";80.0000;20.0000;0.5833;1.0000;5.2;ANT;C;0
964501;7581;79798;"2020-01-03 23:40:00";"2020-01-04 00:15:00";80.0000;20.0000;0.5833;1.0000;5.2;QUA;C;1
964502;7581;79798;"2020-01-03 23:40:00";"2020-01-04 00:15:00";80.0000;20.0000;0.5833;1.0000;5.2;DLM;C;0
964503;7581;79798;"2020-01-03 23:40:00";"2020-01-04 00:15:00";80.0000;20.0000;0.5833;1.0000;5.2;SPO;C;3
964504;532;79799;"2020-01-04 04:47:00";"2020-01-04 05:06:00";230.0000;4.0000;0.3167;1.5000;5;QUA;P;1
964505;532;79799;"2020-01-04 04:47:00";"2020-01-04 05:06:00";230.0000;4.0000;0.3167;1.5000;5;DLM;C;0
